frame,x,y,w,h,conf
881,301.00,236.00,25.00,33.00,0.71
892,496.00,238.00,25.00,36.00,0.66
893,469.00,236.00,23.00,33.00,0.71
902,123.00,235.00,25.00,31.00,0.67
903,90.00,233.00,35.00,39.00,0.72
904,67.00,234.00,34.00,39.00,0.77
905,42.00,234.00,25.00,31.00,0.79
906,38.00,231.00,33.00,33.00,0.71
907,49.00,232.00,34.00,39.00,0.81
908,65.00,231.00,36.00,40.00,0.82
909,100.00,230.00,35.00,41.00,0.87
910,140.00,230.00,33.00,39.00,0.88
911,199.00,230.00,32.00,40.00,0.85
912,243.00,230.00,31.00,41.00,0.86
913,300.00,229.00,30.00,38.00,0.81
914,358.00,229.00,28.00,38.00,0.77
915,559.00,219.00,17.00,25.00,0.68
916,459.00,226.00,29.00,35.00,0.70
917,518.00,227.00,20.00,30.00,0.83
919,537.00,223.00,19.00,26.00,0.66
920,531.00,223.00,19.00,28.00,0.76
921,508.00,227.00,20.00,32.00,0.79
922,464.00,229.00,26.00,35.00,0.80
923,420.00,228.00,24.00,33.00,0.77
924,357.00,229.00,25.00,34.00,0.72
925,298.00,227.00,32.00,39.00,0.78
926,253.00,225.00,29.00,35.00,0.78
927,195.00,227.00,33.00,42.00,0.86
928,128.00,227.00,34.00,41.00,0.85
929,76.00,227.00,36.00,42.00,0.88
930,32.00,227.00,36.00,43.00,0.84
931,10.00,224.00,20.00,36.00,0.81
933,5.00,224.00,10.00,36.00,0.69
934,9.00,224.00,19.00,35.00,0.71
935,27.00,225.00,32.00,39.00,0.83
937,119.00,225.00,34.00,42.00,0.74
938,188.00,221.00,33.00,41.00,0.87
939,246.00,223.00,31.00,39.00,0.85
940,299.00,222.00,31.00,39.00,0.83
941,342.00,220.00,30.00,37.00,0.76
942,376.00,220.00,24.00,34.00,0.78
943,393.00,221.00,26.00,36.00,0.81
944,398.00,221.00,30.00,36.00,0.78
945,391.00,223.00,32.00,39.00,0.80
946,378.00,222.00,24.00,34.00,0.76
947,344.00,222.00,29.00,37.00,0.80
948,308.00,222.00,33.00,41.00,0.82
949,260.00,221.00,32.00,41.00,0.85
950,227.00,223.00,31.00,41.00,0.86
951,188.00,224.00,32.00,39.00,0.87
952,160.00,226.00,33.00,41.00,0.86
953,136.00,229.00,35.00,42.00,0.86
954,113.00,229.00,35.00,43.00,0.87
955,101.00,229.00,35.00,42.00,0.84
956,103.00,229.00,36.00,43.00,0.83
957,112.00,228.00,35.00,43.00,0.86
958,129.00,229.00,35.00,42.00,0.86
959,152.00,230.00,36.00,43.00,0.83
964,371.00,232.00,25.00,34.00,0.72
965,394.00,228.00,31.00,38.00,0.84
966,419.00,228.00,30.00,38.00,0.81
967,426.00,228.00,31.00,38.00,0.84
968,425.00,229.00,34.00,40.00,0.79
969,416.00,231.00,24.00,34.00,0.77
970,392.00,232.00,24.00,35.00,0.68
973,269.00,232.00,29.00,36.00,0.71
975,195.00,232.00,34.00,42.00,0.85
976,147.00,231.00,34.00,39.00,0.83
977,98.00,231.00,35.00,41.00,0.86
978,63.00,232.00,33.00,36.00,0.80
979,17.00,234.00,33.00,40.00,0.78
980,549.00,224.00,29.00,43.00,0.70
982,590.00,214.00,20.00,24.00,0.74
983,4.00,224.00,8.00,26.00,0.66
984,9.00,231.00,18.00,36.00,0.70
985,27.00,229.00,34.00,42.00,0.87
986,61.00,229.00,34.00,40.00,0.88
987,93.00,229.00,34.00,41.00,0.88
988,129.00,231.00,34.00,40.00,0.80
989,158.00,230.00,33.00,37.00,0.81
990,205.00,232.00,29.00,36.00,0.75
994,362.00,235.00,20.00,31.00,0.66
997,361.00,235.00,22.00,31.00,0.65
1003,135.00,230.00,17.00,27.00,0.67
1004,93.00,232.00,33.00,38.00,0.81
1005,45.00,232.00,34.00,39.00,0.85
1007,9.00,234.00,19.00,36.00,0.66
1008,7.00,233.00,15.00,34.00,0.72
1009,13.00,234.00,24.00,34.00,0.71
1010,33.00,233.00,33.00,40.00,0.84
1011,59.00,233.00,33.00,39.00,0.73
1012,98.00,234.00,36.00,39.00,0.72
1013,139.00,235.00,29.00,33.00,0.74
1014,598.00,213.00,23.00,24.00,0.67
1015,603.00,214.00,21.00,24.00,0.71
1020,425.00,236.00,21.00,32.00,0.69
1022,445.00,235.00,18.00,31.00,0.67
1023,437.00,236.00,23.00,33.00,0.70
1030,285.00,236.00,24.00,32.00,0.69
1031,262.00,236.00,32.00,39.00,0.81
1032,246.00,236.00,25.00,33.00,0.67
1033,225.00,237.00,26.00,35.00,0.66
1034,214.00,236.00,33.00,37.00,0.78
1035,210.00,236.00,24.00,33.00,0.73
1036,211.00,237.00,26.00,34.00,0.71
1037,214.00,237.00,29.00,35.00,0.74
1039,250.00,244.00,22.00,32.00,0.72
1044,406.00,206.00,13.00,15.00,0.71
1066,605.00,225.00,20.00,30.00,0.73
1073,5.00,221.00,10.00,29.00,0.71
1075,38.00,223.00,37.00,47.00,0.81
1076,63.00,220.00,36.00,43.00,0.88
1077,108.00,218.00,36.00,43.00,0.85
1078,148.00,215.00,35.00,40.00,0.81
1079,190.00,215.00,32.00,38.00,0.89
1080,231.00,217.00,32.00,39.00,0.81
1081,261.00,215.00,31.00,37.00,0.84
1082,295.00,215.00,31.00,36.00,0.86
1083,323.00,214.00,32.00,37.00,0.84
1084,340.00,214.00,32.00,37.00,0.82
1085,492.00,249.00,16.00,21.00,0.74
1086,362.00,215.00,30.00,36.00,0.87
1087,361.00,213.00,31.00,35.00,0.87
1088,491.00,249.00,16.00,22.00,0.74
1089,335.00,212.00,33.00,32.00,0.81
1090,309.00,213.00,33.00,37.00,0.78
1091,273.00,213.00,31.00,34.00,0.80
1092,246.00,216.00,31.00,36.00,0.79
1093,200.00,217.00,32.00,39.00,0.83
1094,160.00,215.00,35.00,38.00,0.75
1095,118.00,216.00,33.00,38.00,0.77
1096,75.00,209.00,31.00,33.00,0.84
1104,491.00,249.00,15.00,21.00,0.71
1106,491.00,248.00,18.00,24.00,0.67
1107,490.00,248.00,18.00,23.00,0.67
1108,489.00,248.00,19.00,24.00,0.69
1109,491.00,249.00,17.00,22.00,0.72
1110,490.00,249.00,18.00,23.00,0.72
1111,491.00,250.00,16.00,22.00,0.74
1112,492.00,249.00,16.00,22.00,0.74
1116,6.00,217.00,12.00,27.00,0.70
1117,23.00,224.00,34.00,46.00,0.83
1118,49.00,221.00,35.00,41.00,0.79
1119,91.00,223.00,31.00,39.00,0.88
1120,130.00,225.00,33.00,41.00,0.86
1121,169.00,226.00,33.00,40.00,0.89
1122,207.00,226.00,31.00,36.00,0.81
1123,245.00,226.00,30.00,37.00,0.78
1124,276.00,228.00,32.00,40.00,0.83
1125,303.00,225.00,27.00,34.00,0.78
1126,318.00,224.00,29.00,37.00,0.81
1127,335.00,223.00,28.00,35.00,0.80
1128,345.00,224.00,26.00,35.00,0.84
1129,344.00,225.00,29.00,38.00,0.88
1130,338.00,223.00,31.00,39.00,0.81
1131,326.00,224.00,30.00,38.00,0.80
1132,309.00,224.00,31.00,41.00,0.84
1133,281.00,220.00,31.00,39.00,0.83
1134,254.00,220.00,31.00,38.00,0.86
1135,221.00,219.00,31.00,38.00,0.89
1136,187.00,220.00,32.00,40.00,0.89
1137,152.00,220.00,33.00,42.00,0.85
1138,126.00,217.00,33.00,38.00,0.87
1139,96.00,216.00,32.00,35.00,0.74
1140,85.00,216.00,36.00,38.00,0.80
1141,74.00,217.00,35.00,42.00,0.86
1142,75.00,214.00,33.00,39.00,0.89
1143,85.00,212.00,34.00,36.00,0.82
1144,97.00,212.00,33.00,35.00,0.79
1145,117.00,212.00,33.00,34.00,0.81
1146,144.00,216.00,33.00,38.00,0.81
1147,182.00,212.00,30.00,35.00,0.86
1148,218.00,213.00,30.00,35.00,0.84
1149,255.00,211.00,28.00,30.00,0.75
1150,304.00,210.00,29.00,31.00,0.83
1151,345.00,209.00,25.00,28.00,0.81
1152,381.00,213.00,29.00,34.00,0.85
1153,413.00,209.00,27.00,30.00,0.80
1154,448.00,208.00,28.00,27.00,0.81
1155,486.00,212.00,30.00,35.00,0.70
1157,492.00,249.00,16.00,22.00,0.67
1158,323.00,248.00,16.00,23.00,0.66
1160,512.00,219.00,25.00,34.00,0.73
1161,488.00,227.00,36.00,40.00,0.75
1162,470.00,229.00,26.00,36.00,0.80
1163,433.00,229.00,24.00,34.00,0.81
1164,403.00,232.00,33.00,40.00,0.77
1165,367.00,232.00,26.00,35.00,0.72
1168,229.00,229.00,33.00,42.00,0.86
1169,170.00,228.00,33.00,41.00,0.87
1170,92.00,225.00,32.00,39.00,0.88
1180,20.00,223.00,35.00,44.00,0.80
1181,70.00,224.00,35.00,44.00,0.75
1182,133.00,222.00,34.00,42.00,0.69
1183,194.00,218.00,32.00,35.00,0.75
1184,248.00,221.00,32.00,40.00,0.70
1185,287.00,219.00,31.00,38.00,0.87
1186,324.00,220.00,33.00,40.00,0.80
1187,355.00,220.00,33.00,39.00,0.77
1188,367.00,219.00,28.00,34.00,0.78
1189,366.00,221.00,23.00,29.00,0.71
1190,350.00,221.00,31.00,39.00,0.80
1191,326.00,220.00,31.00,37.00,0.77
1192,291.00,221.00,32.00,39.00,0.76
1193,246.00,222.00,32.00,41.00,0.85
1194,194.00,218.00,32.00,35.00,0.76
1195,124.00,218.00,33.00,41.00,0.88
1196,43.00,219.00,36.00,43.00,0.80
1197,5.00,215.00,11.00,27.00,0.66
1208,47.00,221.00,35.00,43.00,0.84
1209,88.00,223.00,33.00,40.00,0.74
1210,122.00,223.00,31.00,39.00,0.88
1211,165.00,226.00,33.00,41.00,0.86
1212,199.00,228.00,32.00,40.00,0.88
1213,239.00,228.00,29.00,37.00,0.82
1214,277.00,229.00,32.00,41.00,0.83
1215,311.00,228.00,29.00,38.00,0.81
1216,340.00,231.00,32.00,40.00,0.78
1217,364.00,230.00,30.00,37.00,0.82
1218,384.00,229.00,24.00,33.00,0.80
1219,394.00,229.00,30.00,37.00,0.80
1220,395.00,229.00,31.00,38.00,0.82
1221,385.00,227.00,25.00,33.00,0.77
1222,362.00,226.00,30.00,37.00,0.79
1223,338.00,225.00,31.00,40.00,0.84
1224,318.00,222.00,28.00,35.00,0.78
1225,267.00,224.00,30.00,38.00,0.88
1226,218.00,221.00,31.00,40.00,0.87
1227,163.00,215.00,33.00,34.00,0.74
1228,492.00,248.00,16.00,23.00,0.67
1230,74.00,210.00,14.00,19.00,0.66
1234,460.00,224.00,22.00,32.00,0.66
1235,74.00,210.00,15.00,20.00,0.65
1236,74.00,210.00,14.00,19.00,0.65
1243,74.00,210.00,14.00,19.00,0.68
1247,74.00,211.00,13.00,17.00,0.66
1252,74.00,210.00,14.00,19.00,0.67
1258,74.00,210.00,14.00,19.00,0.65
1261,74.00,210.00,14.00,19.00,0.68
1263,74.00,211.00,14.00,20.00,0.67
1264,74.00,210.00,14.00,19.00,0.67
1267,459.00,227.00,23.00,35.00,0.67
1268,74.00,210.00,15.00,20.00,0.66
1271,74.00,210.00,14.00,19.00,0.66
1272,74.00,210.00,14.00,19.00,0.66
1277,74.00,211.00,14.00,18.00,0.66
1278,74.00,210.00,15.00,20.00,0.65
1281,74.00,210.00,15.00,19.00,0.67
1283,74.00,210.00,14.00,19.00,0.67
1288,74.00,210.00,15.00,19.00,0.67
1294,74.00,210.00,15.00,19.00,0.67
1296,74.00,210.00,14.00,19.00,0.68
1297,74.00,210.00,15.00,19.00,0.66
1298,75.00,211.00,14.00,18.00,0.67
1300,74.00,210.00,15.00,20.00,0.67
1302,74.00,210.00,15.00,19.00,0.69
1303,74.00,210.00,14.00,19.00,0.66
1304,74.00,210.00,15.00,20.00,0.67
