frame,x,y,conf,detected
211,479.00,218.20,0.00,0
212,470.00,217.60,0.00,0
213,461.00,217.00,0.76,1
214,448.00,218.00,0.78,1
215,431.00,220.00,0.79,1
216,416.00,218.00,0.79,1
217,394.00,217.00,0.85,1
218,380.00,217.00,0.84,1
219,358.00,210.00,0.82,1
220,337.00,211.00,0.84,1
221,322.00,214.00,0.80,1
222,303.00,212.00,0.84,1
223,285.00,209.00,0.87,1
224,270.00,208.00,0.81,1
225,260.00,207.00,0.74,1
226,490.00,247.00,0.65,1
227,490.00,246.00,0.66,1
228,525.00,238.75,0.00,0
229,560.00,231.50,0.00,0
230,595.00,224.25,0.00,0
231,630.00,217.00,0.66,1
232,630.00,217.00,0.66,1
233,491.00,214.00,0.00,0
234,352.00,211.00,0.00,0
235,213.00,208.00,0.81,1
236,212.00,217.00,0.83,1
237,211.00,226.00,0.87,1
238,213.00,228.00,0.88,1
239,216.00,229.00,0.87,1
240,227.00,230.00,0.86,1
241,236.00,229.00,0.85,1
242,254.00,230.00,0.83,1
243,275.00,231.00,0.83,1
244,289.00,231.00,0.85,1
245,308.00,232.00,0.73,1
246,321.00,231.00,0.85,1
247,329.00,229.00,0.86,1
248,337.00,229.00,0.82,1
249,341.00,229.00,0.86,1
250,340.00,228.00,0.84,1
251,338.00,228.00,0.84,1
252,334.00,228.00,0.81,1
253,325.00,229.00,0.79,1
254,314.00,229.00,0.87,1
255,301.00,231.00,0.81,1
256,288.00,232.00,0.82,1
257,278.00,230.00,0.80,1
258,271.00,233.00,0.78,1
259,267.00,231.00,0.82,1
260,267.00,231.00,0.83,1
261,270.00,230.00,0.81,1
262,276.00,231.00,0.84,1
263,289.00,231.00,0.86,1
264,303.00,230.00,0.81,1
265,329.00,232.00,0.81,1
266,362.00,230.00,0.83,1
267,392.00,229.00,0.77,1
268,420.00,229.00,0.81,1
269,455.00,225.00,0.76,1
270,472.00,228.00,0.73,1
271,488.00,227.00,0.81,1
272,499.00,229.00,0.77,1
273,498.00,224.00,0.75,1
274,481.00,225.00,0.79,1
275,466.00,219.00,0.75,1
276,435.00,224.00,0.76,1
277,400.00,221.00,0.75,1
278,364.00,223.00,0.77,1
279,326.00,222.00,0.82,1
280,277.00,220.00,0.80,1
281,227.00,221.00,0.83,1
282,177.00,221.00,0.85,1
283,131.00,220.00,0.84,1
